forecast_item,date,volume,reg_name,reg_value
SE: 492598,2017-01-01,102,0,0
SE: 492598,2017-02-01,71,0,0
SE: 492598,2017-03-01,83,0,0
SE: 492598,2017-04-01,64,0,0
SE: 492598,2017-05-01,68,0,0
SE: 492598,2017-06-01,72,0,0
SE: 492598,2017-07-01,63,0,0
SE: 492598,2017-08-01,90,0,0
SE: 492598,2017-09-01,81,0,0
SE: 492598,2017-10-01,88,0,0
SE: 492598,2017-11-01,83,0,0
SE: 492598,2017-12-01,69,0,0
SE: 492598,2018-01-01,86,0,0
SE: 492598,2018-02-01,95,0,0
SE: 492598,2018-03-01,69,0,0
SE: 492598,2018-04-01,85,0,0
SE: 492598,2018-05-01,86,0,0
SE: 492598,2018-06-01,84,0,0
SE: 492598,2018-07-01,87,0,0
SE: 492598,2018-08-01,103,0,0
SE: 492598,2018-09-01,77,0,0
SE: 492598,2018-10-01,82,0,0
SE: 492598,2018-11-01,91,0,0
SE: 492598,2018-12-01,89,0,0
SE: 492598,2019-01-01,108,0,0
SE: 492598,2019-02-01,92,0,0
SE: 492598,2019-03-01,97,0,0
SE: 492598,2019-04-01,94,0,0
SE: 492598,2019-05-01,88,0,0
SE: 492598,2019-06-01,93,0,0
SE: 492598,2019-07-01,124,0,0
SE: 492598,2019-08-01,100,0,0
SE: 492598,2019-09-01,121,0,0
SE: 492598,2019-10-01,95,0,0
SE: 492598,2019-11-01,103,0,0
SE: 492598,2019-12-01,90,0,0
SE: 492598,2020-01-01,118,0,0
SE: 492598,2020-02-01,72,0,0
SE: 492598,2020-03-01,114,0,0
SE: 492598,2020-04-01,99,0,0
SE: 492598,2020-05-01,82,0,0
SE: 492598,2020-06-01,107,0,0
SE: 492598,2020-07-01,96,0,0
SE: 652383,2017-05-01,4035,0,0
SE: 652383,2017-06-01,2653,0,0
SE: 652383,2017-07-01,1647,0,0
SE: 652383,2017-08-01,6757,0,0
SE: 652383,2017-09-01,4583,0,0
SE: 652383,2017-10-01,9575,0,0
SE: 652383,2017-11-01,2767,0,0
SE: 652383,2017-12-01,6338,0,0
SE: 652383,2018-01-01,4011,0,0
SE: 652383,2018-02-01,5064,0,0
SE: 652383,2018-03-01,5091,0,0
SE: 652383,2018-04-01,1731,0,0
SE: 652383,2018-05-01,14428,SE: 652383-Promotion1,1
SE: 652383,2018-06-01,4926,0,0
SE: 652383,2018-07-01,3711,0,0
SE: 652383,2018-08-01,2571,0,0
SE: 652383,2018-09-01,1994,0,0
SE: 652383,2018-10-01,9321,0,0
SE: 652383,2018-11-01,2980,0,0
SE: 652383,2018-12-01,2427,0,0
SE: 652383,2019-01-01,5456,0,0
SE: 652383,2019-02-01,150,SE: 652383-OOS1,-1
SE: 652383,2019-03-01,12944,SE: 652383-OOS1,1.6
SE: 652383,2019-04-01,1466,0,0
SE: 652383,2019-05-01,3350,0,0
SE: 652383,2019-06-01,7180,0,0
SE: 652383,2019-07-01,6873,0,0
SE: 652383,2019-08-01,3682,0,0
SE: 652383,2019-09-01,3568,0,0
SE: 652383,2019-10-01,5552,0,0
SE: 652383,2019-11-01,6836,0,0
SE: 652383,2019-12-01,4632,0,0
SE: 652383,2020-01-01,8816,0,0
SE: 652383,2020-02-01,8382,0,0
SE: 652383,2020-03-01,11571,0,0
SE: 652383,2020-04-01,3654,0,0
SE: 652383,2020-05-01,3125,0,0
SE: 652383,2020-06-01,10865,0,0
SE: 652383,2020-07-01,9200,0,0
